日期,豆油价格,豆油基差,豆粕价格,豆粕基差,豆二价格,豆油现货价格,豆粕现货价格,榨利,榨利率,榨利状态
2025-06-25,7984.0,236.0,2993.0,-133.0,3651.0,8220.0,2860.0,-35.19999999999982,-0.9641194193371629,亏损
2025-06-26,8000.0,240.0,2936.0,-126.0,3603.0,8240.0,2810.0,-22.75,-0.6314182625589786,亏损
2025-06-27,8002.0,248.0,2946.0,-126.0,3603.0,8250.0,2820.0,-13.049999999999727,-0.36219816819316475,亏损
2025-06-30,7984.0,236.0,2961.0,-121.0,3611.0,8220.0,2840.0,-10.899999999999636,-0.30185544170588857,亏损
2025-07-01,7972.0,228.0,2961.0,-121.0,3601.0,8200.0,2840.0,-4.599999999999909,-0.12774229380727323,亏损
2025-07-02,8018.0,212.0,2944.0,-124.0,3603.0,8230.0,2820.0,-16.75,-0.4648903691368304,亏损
2025-07-03,7994.0,226.0,2958.0,-128.0,3603.0,8220.0,2830.0,-10.75,-0.2983624757146822,亏损
2025-07-04,7944.0,226.0,2954.0,-134.0,3589.0,8170.0,2820.0,-13.849999999999454,-0.3859013652827934,亏损
2025-07-07,7894.0,206.0,2937.0,-137.0,3566.0,8100.0,2800.0,-19.5,-0.5468311833987661,亏损
2025-07-08,7946.0,194.0,2935.0,-145.0,3582.0,8140.0,2790.0,-35.94999999999982,-1.0036292573980965,亏损
2025-07-09,7920.0,230.0,2947.0,-157.0,3582.0,8150.0,2790.0,-34.09999999999991,-0.9519821328866529,亏损
2025-07-10,7944.0,216.0,2954.0,-164.0,3597.0,8160.0,2790.0,-47.25,-1.3135946622185155,亏损
2025-07-11,7986.0,194.0,2976.0,-166.0,3619.0,8180.0,2810.0,-49.850000000000364,-1.3774523348991534,亏损
2025-07-14,7994.0,166.0,2992.0,-182.0,3637.0,8160.0,2810.0,-71.55000000000018,-1.967280725872977,亏损
2025-07-15,8012.0,158.0,2978.0,-158.0,3628.0,8170.0,2820.0,-52.849999999999454,-1.4567254685777138,亏损
2025-07-16,8042.0,178.0,2977.0,-167.0,3630.0,8220.0,2810.0,-53.44999999999982,-1.4724517906336039,亏损
2025-07-17,8072.0,168.0,3029.0,-169.0,3685.0,8240.0,2860.0,-65.5,-1.7774762550881955,亏损
2025-07-18,8160.0,120.0,3056.0,-176.0,3726.0,8280.0,2880.0,-83.39999999999964,-2.238325281803533,亏损
2025-07-21,8092.0,188.0,3069.0,-179.0,3718.0,8280.0,2890.0,-67.55000000000018,-1.8168370091447066,亏损
2025-07-22,8076.0,184.0,3086.0,-186.0,3723.0,8260.0,2900.0,-68.40000000000009,-1.8372280419016946,亏损
2025-07-23,8074.0,226.0,3095.0,-195.0,3724.0,8300.0,2900.0,-62.0,-1.664876476906552,亏损
2025-07-24,8166.0,154.0,3025.0,-175.0,3671.0,8320.0,2850.0,-44.55000000000018,-1.2135657858894084,亏损
2025-07-25,8144.0,196.0,3021.0,-171.0,3661.0,8340.0,2850.0,-30.84999999999991,-0.8426659382682302,亏损
2025-07-28,8120.0,190.0,2990.0,-150.0,3620.0,8310.0,2840.0,-3.25,-0.08977900552486189,亏损
2025-07-29,8226.0,174.0,2983.0,-133.0,3645.0,8400.0,2850.0,-3.75,-0.102880658436214,亏损
2025-07-30,8240.0,200.0,3010.0,-130.0,3671.0,8440.0,2880.0,1.2000000000002728,0.0326886406973651,盈利
2025-07-31,8192.0,248.0,3000.0,-120.0,3658.0,8440.0,2880.0,14.200000000000273,0.388190267905967,盈利
2025-08-01,8274.0,186.0,3010.0,-120.0,3688.0,8460.0,2890.0,-4.25,-0.11523861171366594,亏损
2025-08-04,8250.0,240.0,3024.0,-124.0,3686.0,8490.0,2900.0,11.150000000000091,0.302495930548022,盈利
2025-08-05,8344.0,216.0,3023.0,-133.0,3707.0,8560.0,2890.0,-4.75,-0.12813595899649313,亏损
2025-08-06,8406.0,204.0,3026.0,-136.0,3729.0,8610.0,2890.0,-17.5,-0.4692947170823277,亏损
2025-08-07,8378.0,164.0,3031.0,-141.0,3741.0,8542.0,2890.0,-42.07999999999993,-1.1248329323710218,亏损
2025-08-08,8388.0,252.0,3094.0,-135.0,3749.0,8640.0,2959.0,22.215000000000146,0.592558015470796,盈利
2025-08-11,8440.0,210.0,3072.0,-152.0,3726.0,8650.0,2920.0,16.450000000000273,0.44149221685454304,盈利
2025-08-12,8476.0,204.0,3091.0,-151.0,3754.0,8680.0,2940.0,9.699999999999818,0.25839104954714487,盈利
2025-08-13,8576.0,234.0,3163.0,-143.0,3829.0,8810.0,3020.0,21.550000000000182,0.5628101331940502,盈利
2025-08-14,8520.0,250.0,3157.0,-157.0,3807.0,8770.0,3000.0,20.449999999999818,0.5371683740478018,盈利
2025-08-15,8534.0,236.0,3137.0,-147.0,3880.0,8770.0,2990.0,-60.399999999999636,-1.5567010309278257,亏损
2025-08-18,8516.0,284.0,3155.0,-145.0,3884.0,8800.0,3010.0,-43.15000000000009,-1.1109680741503627,亏损
2025-08-19,8526.0,324.0,3161.0,-131.0,3902.0,8850.0,3030.0,-36.19999999999982,-0.9277293695540703,亏损
2025-08-20,8414.0,226.0,3160.0,-140.0,3865.0,8640.0,3020.0,-45.899999999999636,-1.1875808538162906,亏损
2025-08-21,8394.0,286.0,3113.0,-93.0,3813.0,8680.0,3020.0,13.5,0.35405192761605037,盈利
2025-08-22,8458.0,282.0,3088.0,-78.0,3798.0,8740.0,3010.0,31.75,0.835966298051606,盈利
2025-08-25,8488.0,362.0,3117.0,-87.0,3818.0,8850.0,3030.0,47.80000000000018,1.2519643792561599,盈利
2025-08-26,8456.0,364.0,3081.0,-71.0,3786.0,8820.0,3010.0,58.55000000000018,1.546487057580565,盈利
2025-08-27,8390.0,380.0,3045.0,-55.0,3731.0,8770.0,2990.0,88.60000000000036,2.3746984722594577,盈利
2025-08-28,8372.0,348.0,3039.0,-59.0,3718.0,8720.0,2980.0,84.5,2.272727272727273,盈利
2025-08-29,8358.0,322.0,3055.0,-65.0,3734.0,8680.0,2990.0,68.94999999999982,1.8465452597750354,盈利
2025-09-01,8348.0,332.0,3054.0,-44.0,3724.0,8680.0,3010.0,94.64999999999964,2.541621911922654,盈利
2025-09-02,8356.0,324.0,3050.0,-50.0,3722.0,8680.0,3000.0,88.80000000000018,2.3858140784524497,盈利
2025-09-03,8366.0,314.0,3066.0,-76.0,3733.0,8680.0,2990.0,69.94999999999982,1.873828020358956,盈利
2025-09-04,8356.0,384.0,3048.0,-68.0,3715.0,8740.0,2980.0,91.20000000000027,2.454912516823695,盈利
2025-09-05,8450.0,310.0,3067.0,-87.0,3757.0,8760.0,2980.0,52.90000000000009,1.4080383284535558,盈利
2025-09-08,8416.0,304.0,3081.0,-91.0,3761.0,8720.0,2990.0,49.350000000000364,1.3121510236639289,盈利
2025-09-09,8408.0,322.0,3075.0,-85.0,3747.0,8730.0,2990.0,65.19999999999982,1.7400587136375718,盈利
2025-09-10,8256.0,394.0,3066.0,-86.0,3698.0,8650.0,2980.0,91.55000000000018,2.475662520281238,盈利
2025-09-11,8336.0,294.0,3088.0,-98.0,3755.0,8630.0,2990.0,38.69999999999982,1.0306258322236967,盈利
2025-09-12,8322.0,348.0,3079.0,-79.0,3759.0,8670.0,3000.0,49.94999999999982,1.328810853950514,盈利
2025-09-15,8376.0,314.0,3042.0,-62.0,3728.0,8690.0,2980.0,68.95000000000027,1.8495171673819817,盈利
